Can I Register to Vote?,Statute,Name,Description
YES with Additional Evaluation,18.2-374.1,"Production, publication, sale, financing, etc. , of child pornography","Produce, make child porn, age 15+"
YES with Additional Evaluation,"18.2-374.1(B,2)","Production, publication, sale financing, etc. , of child pornography","Produce, making child porn, age"
YES with Additional Evaluation,"18.2-374.1(B,2)","Production, publication, sale, financing, etc. , of child pornography","Produce, making child porn, age <15"
YES with Additional Evaluation,"18.2-374.1(B,3)","Production, publication, sale, financing, etc. , of child pornography","Take part, film child porn, age <15"
YES with Additional Evaluation,"18.2-374.1(B,3)","Production, publication, sale, financing, etc. , of child pornography","Take part, film child porn, age 15+"
YES with Additional Evaluation,"18.2-374.1(B,3)","Production, publication, sale, financing, etc. , of child pornography","Take part, film child porn, age <15, offender 7+ years"
YES with Additional Evaluation,"18.2-374.1(B,3)","Production, publication, sale, financing, etc. , of child pornography","Take part, film child porn, age <15, offender 7+ years, 2 nd"
YES with Additional Evaluation,"18.2-374.1(B,3)","Production, publication, sale, financing, etc. , of child pornography","Take part, film child porn, age 15+, offender 7+ yrs"
YES with Additional Evaluation,"18.2-374.1(B,3)","Production, publication, sale, financing, etc. , of child pornography","Take part, film child porn, age 15+, offender 7+ yrs, 2 nd"
YES with Additional Evaluation,"18.2-374.1(B,3)","Production, publication, sale, financing, et of child pornography",Filming etc. of minors in sexually explicit material
YES with Additional Evaluation,"18.2-374.1(B,4)","Production, publication, sale, financing, etc. , of child pornography","Finance child porn, age 15+"
YES with Additional Evaluation,"18.2-374.1(B,4)","Production, publication, sale, financing, etc. , of child pornography","Finance child porn, age 15+, offender 7+ years"
YES with Additional Evaluation,"18.2-374.1(B,4)","Production, publication, sale, financing, etc. , of child pornography","Finance child porn, age 15+, offender 7+ years, 2 nd offense"
YES with Additional Evaluation,"18.2-374.1(B,3)","Production, publication, sale, financing, etc. of child pornography",Filming etc. of minors in sexually explicit material
YES with Additional Evaluation,"18.2-374.1(B,4)","Production, publication, sale, financing, etc. of child pornography","Finance child porn, age 15+"
YES with Additional Evaluation,"18.2-374.1(B,4)","Production, publication, sale, financing, etc. of child pornography","Finance child porn, age 15+, offender 7+ yrs"
YES with Additional Evaluation,"18.2-374.1(B,4)","Production, publication, sale, financing, etc. of child pornography","Finance child porn, age <15, offender 7+ yrs, 2 nd"
YES with Additional Evaluation,"18.2-374.1(B,4)","Production, publication, sale, financing, etc. , of child pornography","Finance child porn, age <15, offender 7+ yrs"
YES with Additional Evaluation,"18.2-374.1(B,4)","Production, publication, sale, financing, etc. , of child pornography","Finance child porn, age <15"
YES with Additional Evaluation,"18.2-374.1(B,4)","Production, publication, sale, financing, etc. , of child pornography","Sell, etc. , sexually explicit material to minor"
YES with Additional Evaluation,"18.2-374.1(B,4)","Production, publication, sale, financing, etc. of child pornography","Finance child porn, age 15+, offender 7+yrs, 2 nd"
YES with Additional Evaluation,18.2-374.1(C),"Production, publication, sale, financing, etc. , of child pornography",Finance sexually explicit visual materialusing minor
YES with Additional Evaluation,18.2-374.3(A),Use of communications systems to facilitate certain offense s involvingchildren,Electronic means for procuring minorsfor obscene material
YES with Additional Evaluation,18.2-374.3,Use of communications ystems to facilitate certain offense s involvingchildren,Procure minor for obscene material bycommunication systems
YES with Additional Evaluation,18.2-374.3(B),Use of communications systems to facilitate certain offense s involvingchildren,"Electronic means to solicit minors forprostitution, etc."
YES with Additional Evaluation,18.2-379,Employing or permittingminor to assist in offense under article,Permit minors to obscene performances ( subsequent offense )
YES with Additional Evaluation,18.2-381,Punishment for subsequent offense s,Subsequent child pornography conviction§18.2-374 -18.2-379
YES with Additional Evaluation,18.2-414,Injury to person orproperty while rioting,"Injury to another , damage to property (unlawful assembly)"
YES with Additional Evaluation,18.2-46.2(A)(ii),"Street gang participationon certain property, predicate violent","Gang member participates in criminalact for benefit of gang, predicate criminalact as an act of violence on schoolproperty, school bus, public propertywithin 1000 feet of school property orpublic community center property"
YES with Additional Evaluation,18.2-46.2(A)(ii),"Street gang participation, predicate violent","Gang member participates in criminalact for benefit of gang, predicate criminalact is an act of violence"
YES with Additional Evaluation,18.2-46.5(A),"Act of terrorism, base offense >= 20 years","Commit or conspire to commit, or aidand abet the commission of an act of terrorism, base offense of act ispunishable by not less than 20 years of incarceration"
